"rank","player_name","team","position","headshot_href","IMPACT_100","SCORING_100","PLAY_100","REB_100","DISC_100","DEF_100","TOTAL_100"
225,"Gui Santos","GS","F","https://a.espncdn.com/i/headshots/nba/players/full/4997536.png",63.5483782302352,66.0600001105098,58.1948165501656,71.6030107111558,46.0129314605856,58.0164900349173,57.1265279893974
226,"Haywood Highsmith","MIA","F","https://a.espncdn.com/i/headshots/nba/players/full/4291678.png",54.8055809677801,68.2013308312877,53.4150172911903,55.2785576153487,67.0521827860362,67.7945340297219,57.1234589986608
227,"Steven Adams","HOU","C","https://a.espncdn.com/i/headshots/nba/players/full/2991235.png",75.6137702912814,36.9914326050117,53.8779442702266,93.6079656028015,48.3563868619398,64.4544879426459,56.9762825775086
228,"Julian Champagnie","SA","F","https://a.espncdn.com/i/headshots/nba/players/full/4592479.png",54.5894607313102,67.3826250632216,52.7361204658611,58.2955337380438,78.9802804525643,59.3419565532492,56.8229378655036
229,"Kyle Filipowski","UTAH","F","https://a.espncdn.com/i/headshots/nba/players/full/4684793.png",48.5567423289678,75.7751378551561,60.0011933858256,77.9580266006008,43.2070002117269,57.2481015076258,56.6113792927051
230,"CJ McCollum","NO","SG","https://a.espncdn.com/i/headshots/nba/players/full/2490149.png",53.7602034398541,66.4363026173042,71.0824758446564,51.2055661464152,73.9483344365943,49.481799307629,56.5170400648263
231,"Nick Richards","PHX","C","https://a.espncdn.com/i/headshots/nba/players/full/4278076.png",57.5158435993003,51.9708521042677,46.8368678815964,98.1874541354336,40.2303525388715,49.8989475306631,56.4360634798859
232,"Cole Anthony","ORL","PG","https://a.espncdn.com/i/headshots/nba/players/full/4432809.png",61.5790046719979,49.9999380764045,73.6891140497657,58.6036631676213,42.4526017256014,69.8343303861816,56.3463193711705
233,"Ajay Mitchell","OKC","G","https://a.espncdn.com/i/headshots/nba/players/full/4900671.png",62.752324709752,62.3952801906849,57.5174187883806,51.5099301389177,59.8898178431965,65.4274898315389,56.1091020423314
234,"Kelly Oubre Jr.","PHI","SG","https://a.espncdn.com/i/headshots/nba/players/full/3133603.png",49.7201607149539,61.9787906334879,51.7582212216298,60.9762320902371,69.5193401084418,72.7105177549633,55.9506439179809
235,"Collin Sexton","UTAH","G","https://a.espncdn.com/i/headshots/nba/players/full/4277811.png",55.3534905823329,75.8863001467159,77.3909745132821,49.8604969477372,47.3813612769617,46.7004564707106,55.8135536194524
236,"Dalano Banton","POR","G","https://a.espncdn.com/i/headshots/nba/players/full/4397885.png",56.6860507803983,41.6662332670082,69.7953006289144,52.0579308864018,72.1678284040181,74.5234898006522,55.7371575225865
237,"Keaton Wallace","ATL","G","https://a.espncdn.com/i/headshots/nba/players/full/4279118.png",51.9624634776008,40.9323253908663,67.6742372379242,48.7765037140776,66.6556321523243,85.7403418302096,55.7336203137552
238,"Gary Trent Jr.","MIL","SG","https://a.espncdn.com/i/headshots/nba/players/full/4277843.png",59.4316754154701,64.9492680176654,49.7264090067769,47.3738426763188,88.5785475681995,58.0984518717162,55.6965920499186
239,"Quinten Post","GS","C","https://a.espncdn.com/i/headshots/nba/players/full/4593016.png",64.3856866430691,64.6593925035392,53.0510322492889,66.6696120320584,60.5148278177544,54.13854216095,55.4611563849921
240,"Kessler Edwards","DAL","F","https://a.espncdn.com/i/headshots/nba/players/full/4397693.png",49.0523451996748,65.5197287403397,50.4272627520069,61.7536771101882,73.226507296613,67.4535560620339,55.4004735696561
241,"Anthony Black","ORL","G","https://a.espncdn.com/i/headshots/nba/players/full/4712849.png",54.3742806329341,47.9498470633867,72.4412027528007,52.2773825213727,44.5337475794987,79.7265200690333,55.3303038954065
242,"Shaedon Sharpe","POR","SG","https://a.espncdn.com/i/headshots/nba/players/full/4914336.png",56.9596708752894,70.6782683540566,63.1910730985149,55.2192536614591,65.0588978221773,49.0966904083913,55.2041447513353
243,"Stephon Castle","SA","G","https://a.espncdn.com/i/headshots/nba/players/full/4845367.png",50.9022457150093,55.5068684788946,81.5470148798089,55.2411358394597,49.001418319771,58.0622612088249,55.171891886439
244,"Wendell Carter Jr.","ORL","C","https://a.espncdn.com/i/headshots/nba/players/full/4277847.png",60.3610826314554,53.5466856320708,57.0522360099278,77.7525724634579,52.9555590581586,59.8801387205156,55.0378045315575
245,"Scoot Henderson","POR","G","https://a.espncdn.com/i/headshots/nba/players/full/4683678.png",56.5768975611399,53.9263188431188,85.9190522639252,51.3091213365567,36.7899912626541,61.8552480856872,55.0229471285365
246,"Orlando Robinson","TOR","C","https://a.espncdn.com/i/headshots/nba/players/full/4593049.png",55.2784321988213,43.4733262092255,57.1986580794823,97.0679404889678,45.9682095367837,50.053693636857,54.5323168754636
247,"Andre Drummond","PHI","C","https://a.espncdn.com/i/headshots/nba/players/full/6585.png",55.6474033809191,41.1521770264979,46.8670649499867,91.8899901695471,39.1726628870568,84.8392863901071,54.2195326346175
248,"Herbert Jones","NO","SF","https://a.espncdn.com/i/headshots/nba/players/full/4277813.png",52.4825526119035,48.1584168067944,56.4816345687427,52.5650214131996,55.9050063375638,85.1959406544941,54.1202544437558
249,"Brandon Ingram","NO","SF","https://a.espncdn.com/i/headshots/nba/players/full/3913176.png",60.9777789429209,56.3738454404669,67.5810139676478,58.2630961133536,56.259137145465,54.0664869014857,54.0857081266813
250,"Jae'Sean Tate","HOU","SF","https://a.espncdn.com/i/headshots/nba/players/full/3136777.png",59.9035315992626,52.6570898587963,52.2666191619586,67.2083760777469,53.773067771237,71.2478756830997,54.0690513674029
251,"Matas Buzelis","CHI","F","https://a.espncdn.com/i/headshots/nba/players/full/4711294.png",56.5354303549885,64.77291114321,50.1552485848573,61.0639047462407,64.4464324746303,62.2538071111128,54.0099768605476
252,"Jaden Ivey","DET","PG","https://a.espncdn.com/i/headshots/nba/players/full/4433218.png",60.7198490976844,59.6972059932994,65.3522062424702,55.5970019442309,53.7947331378955,55.6240807337495,53.7636917989694
253,"Duncan Robinson","MIA","F","https://a.espncdn.com/i/headshots/nba/players/full/3157465.png",59.4872171862145,74.6578256645435,63.4919693018242,47.8427379678855,68.6936211448538,43.0651675303798,53.3626983705308
254,"Jalen Pickett","DEN","G","https://a.espncdn.com/i/headshots/nba/players/full/4398390.png",56.5729911214479,48.3094223979276,69.2293041650628,50.1199414315915,86.9142238722559,50.2925422272338,53.3382700146805
255,"Taurean Prince","MIL","PF","https://a.espncdn.com/i/headshots/nba/players/full/2990962.png",51.1151018285522,70.983927622592,57.6548078813094,52.6910280653765,63.4903064759626,57.2754068772226,53.3381964143342
256,"Blake Wesley","SA","G","https://a.espncdn.com/i/headshots/nba/players/full/4683935.png",51.9391751922151,42.0414273463908,70.7076514558253,48.3577192148803,58.5894572933645,80.5096906673805,53.2519497882681
257,"Bogdan Bogdanovic","LAC","SG","https://a.espncdn.com/i/headshots/nba/players/full/3037789.png",59.6793945241095,58.8483843820204,63.1127131165124,57.5992457790869,60.0592447355523,52.6135879562966,52.955125265607
258,"Jabari Smith Jr.","HOU","PF","https://a.espncdn.com/i/headshots/nba/players/full/4432639.png",69.7698347195719,60.5545587203869,46.8818871887995,69.8039959731488,76.8243032274642,44.4789899055288,52.8391504697607
259,"Klay Thompson","DAL","SG","https://a.espncdn.com/i/headshots/nba/players/full/6475.png",55.6766355412375,58.710689606098,57.3690047516054,52.297197318388,84.1436268054239,50.8634911863916,52.6224412290975
260,"Lauri Markkanen","UTAH","PF","https://a.espncdn.com/i/headshots/nba/players/full/4066336.png",57.2240518586666,65.2848819250057,49.0028249973384,62.6980405403601,84.5422010165233,46.1794803157077,52.5731387439653
261,"Georges Niang","ATL","SF","https://a.espncdn.com/i/headshots/nba/players/full/2990969.png",63.8722904065016,78.0085352559134,53.9286107346547,68.0022105848061,50.808329816942,40.5448314794814,52.3221526134475
262,"Olivier-Maxence Prosper","DAL","F","https://a.espncdn.com/i/headshots/nba/players/full/4595400.png",53.848952626217,36.6360101941355,50.2340537228532,68.697495641566,92.8812677412494,70.6980086141955,52.2782442788213
263,"Bennedict Mathurin","IND","SG","https://a.espncdn.com/i/headshots/nba/players/full/4683634.png",65.1343254766718,69.6923919357017,55.1412993837366,60.6157381790964,55.4092756320171,45.6089808890993,52.224674706698
264,"Malcolm Brogdon","WSH","G","https://a.espncdn.com/i/headshots/nba/players/full/2566769.png",60.6074208161659,44.3341960262893,70.7774810174474,58.0690010242681,82.9178414076268,45.6959555323657,52.1670820111861
265,"Aaron Holiday","HOU","G","https://a.espncdn.com/i/headshots/nba/players/full/3922230.png",61.4457876619778,62.8078987635052,58.3591384152792,48.7950479562277,74.1796997593237,48.7393386739357,52.0658485655811
266,"Julian Phillips","CHI","F","https://a.espncdn.com/i/headshots/nba/players/full/5105553.png",54.1449245122284,61.8187181820417,45.8331630891386,58.4405216001939,77.1638328940625,61.9293711297409,51.9840883125004
267,"Max Christie","DAL","G","https://a.espncdn.com/i/headshots/nba/players/full/4432582.png",50.0820797362866,61.0351597287975,56.6114851950353,58.2413057777172,73.6442951008695,55.6218930622598,51.9317734029863
268,"Jeremiah Robinson-Earl","NO","F","https://a.espncdn.com/i/headshots/nba/players/full/4432813.png",46.0031192237397,59.6741774985537,53.3839856684623,74.8412103255338,75.2633577679818,52.4890482391759,51.6202768919243
269,"Kyle Lowry","PHI","PG","https://a.espncdn.com/i/headshots/nba/players/full/3012.png",49.3417673092354,38.8516883731961,66.0101854820583,49.1648311324371,73.9991277449662,80.1262438930293,51.5361466625649
270,"Dalton Knecht","LAL","G","https://a.espncdn.com/i/headshots/nba/players/full/4897943.png",55.5674296574221,75.8044604067489,48.3610510534398,54.8873726643943,89.2071176889701,39.448290755511,51.3633386261504
271,"Pat Connaughton","MIL","SG","https://a.espncdn.com/i/headshots/nba/players/full/2578239.png",56.743075779388,59.5584661729906,59.3489995010053,60.218190854587,80.1998137668072,42.6904364037846,51.1606144992614
272,"Eric Gordon","PHI","SG","https://a.espncdn.com/i/headshots/nba/players/full/3431.png",51.3692591300903,55.7202194879787,54.0466168442176,44.5345798151914,87.5449030498886,60.6952988639629,51.1106679419978
273,"Cam Thomas","BKN","SG","https://a.espncdn.com/i/headshots/nba/players/full/4432174.png",67.3823930959931,59.2013378144419,61.6439998484381,49.8526583921528,78.8511355650281,40.5713750083829,51.0758235528754
274,"Jared McCain","PHI","G","https://a.espncdn.com/i/headshots/nba/players/full/4683778.png",63.5433095786567,62.8571312173524,56.3293154161637,48.7382485680372,79.6349229672384,44.1348868135313,51.0531824200828
275,"Jordan Clarkson","UTAH","G","https://a.espncdn.com/i/headshots/nba/players/full/2528426.png",54.1235043119631,49.0611121733069,68.4421348336066,52.2556621489115,69.9709279096562,55.265531111296,50.960460442965
